Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003704035.1	Primary Assembly	Un			ML113013.1	Chromosome		NW_024590411.1	unplaced-scaffold	29102			scaffold00819
GCF_003704035.1	Primary Assembly	Un			ML113014.1	Chromosome		NW_024590412.1	unplaced-scaffold	28470			scaffold00820
GCF_003704035.1	Primary Assembly	Un			ML113015.1	Chromosome		NW_024590413.1	unplaced-scaffold	28490			scaffold00821
GCF_003704035.1	Primary Assembly	Un			ML113016.1	Chromosome		NW_024590414.1	unplaced-scaffold	28164			scaffold00822
GCF_003704035.1	Primary Assembly	Un			ML113017.1	Chromosome		NW_024590415.1	unplaced-scaffold	28196			scaffold00823
GCF_003704035.1	Primary Assembly	Un			ML113018.1	Chromosome		NW_024590416.1	unplaced-scaffold	35955			scaffold00824
GCF_003704035.1	Primary Assembly	Un			ML113019.1	Chromosome		NW_024590417.1	unplaced-scaffold	30941			scaffold00825
GCF_003704035.1	Primary Assembly	Un			ML113020.1	Chromosome		NW_024590418.1	unplaced-scaffold	30482			scaffold00826
GCF_003704035.1	Primary Assembly	Un			ML113021.1	Chromosome		NW_024590419.1	unplaced-scaffold	33824			scaffold00828
GCF_003704035.1	Primary Assembly	Un			ML113022.1	Chromosome		NW_024590420.1	unplaced-scaffold	27881			scaffold00829
GCF_003704035.1	Primary Assembly	Un			ML113023.1	Chromosome		NW_024590421.1	unplaced-scaffold	27791			scaffold00830
GCF_003704035.1	Primary Assembly	Un			ML113024.1	Chromosome		NW_024590422.1	unplaced-scaffold	29162			scaffold00831
GCF_003704035.1	Primary Assembly	Un			ML113025.1	Chromosome		NW_024590423.1	unplaced-scaffold	27083			scaffold00832
GCF_003704035.1	Primary Assembly	Un			ML113026.1	Chromosome		NW_024590424.1	unplaced-scaffold	28068			scaffold00833
GCF_003704035.1	Primary Assembly	Un			ML113027.1	Chromosome		NW_024590425.1	unplaced-scaffold	27387			scaffold00834
GCF_003704035.1	Primary Assembly	Un			ML113028.1	Chromosome		NW_024590426.1	unplaced-scaffold	29302			scaffold00835
GCF_003704035.1	Primary Assembly	Un			ML113029.1	Chromosome		NW_024590427.1	unplaced-scaffold	27181			scaffold00836
GCF_003704035.1	Primary Assembly	Un			ML113030.1	Chromosome		NW_024590429.1	unplaced-scaffold	27659			scaffold00838
GCF_003704035.1	Primary Assembly	Un			ML113031.1	Chromosome		NW_024590430.1	unplaced-scaffold	33616			scaffold00839
GCF_003704035.1	Primary Assembly	Un			ML113032.1	Chromosome		NW_024590431.1	unplaced-scaffold	27590			scaffold00840
GCF_003704035.1	Primary Assembly	Un			ML113033.1	Chromosome		NW_024590432.1	unplaced-scaffold	28383			scaffold00841
GCF_003704035.1	Primary Assembly	Un			ML113034.1	Chromosome		NW_024590433.1	unplaced-scaffold	26743			scaffold00842
GCF_003704035.1	Primary Assembly	Un			ML113035.1	Chromosome		NW_024590434.1	unplaced-scaffold	27081			scaffold00843
GCF_003704035.1	Primary Assembly	Un			ML113036.1	Chromosome		NW_024590435.1	unplaced-scaffold	28135			scaffold00844
GCF_003704035.1	Primary Assembly	Un			ML113037.1	Chromosome		NW_024590437.1	unplaced-scaffold	26597			scaffold00846
GCF_003704035.1	Primary Assembly	Un			ML113038.1	Chromosome		NW_024590438.1	unplaced-scaffold	26638			scaffold00847
GCF_003704035.1	Primary Assembly	Un			ML113039.1	Chromosome		NW_024590439.1	unplaced-scaffold	31282			scaffold00848
GCF_003704035.1	Primary Assembly	Un			ML113040.1	Chromosome		NW_024590440.1	unplaced-scaffold	26277			scaffold00850
GCF_003704035.1	Primary Assembly	Un			ML113041.1	Chromosome		NW_024590441.1	unplaced-scaffold	27769			scaffold00851
GCF_003704035.1	Primary Assembly	Un			ML113042.1	Chromosome		NW_024590442.1	unplaced-scaffold	28123			scaffold00852
GCF_003704035.1	Primary Assembly	Un			ML113043.1	Chromosome		NW_024590443.1	unplaced-scaffold	26268			scaffold00854
GCF_003704035.1	Primary Assembly	Un			ML113044.1	Chromosome		NW_024590444.1	unplaced-scaffold	26444			scaffold00855
GCF_003704035.1	Primary Assembly	Un			ML113045.1	Chromosome		NW_024590445.1	unplaced-scaffold	26009			scaffold00857
GCF_003704035.1	Primary Assembly	Un			ML113046.1	Chromosome		NW_024590447.1	unplaced-scaffold	25486			scaffold00859
GCF_003704035.1	Primary Assembly	Un			ML113047.1	Chromosome		NW_024590448.1	unplaced-scaffold	26407			scaffold00860
GCF_003704035.1	Primary Assembly	Un			ML113048.1	Chromosome		NW_024590450.1	unplaced-scaffold	25613			scaffold00862
GCF_003704035.1	Primary Assembly	Un			ML113049.1	Chromosome		NW_024590451.1	unplaced-scaffold	25030			scaffold00863
GCF_003704035.1	Primary Assembly	Un			ML113050.1	Chromosome		NW_024590452.1	unplaced-scaffold	25600			scaffold00864
GCF_003704035.1	Primary Assembly	Un			ML113051.1	Chromosome		NW_024590453.1	unplaced-scaffold	29038			scaffold00865
GCF_003704035.1	Primary Assembly	Un			ML113052.1	Chromosome		NW_024590454.1	unplaced-scaffold	26145			scaffold00866
GCF_003704035.1	Primary Assembly	Un			ML113053.1	Chromosome		NW_024590455.1	unplaced-scaffold	25311			scaffold00867
GCF_003704035.1	Primary Assembly	Un			ML113054.1	Chromosome		NW_024590456.1	unplaced-scaffold	26949			scaffold00869
GCF_003704035.1	Primary Assembly	Un			ML113055.1	Chromosome		NW_024590457.1	unplaced-scaffold	27691			scaffold00870
GCF_003704035.1	Primary Assembly	Un			ML113056.1	Chromosome		NW_024590458.1	unplaced-scaffold	27959			scaffold00871
GCF_003704035.1	Primary Assembly	Un			ML113057.1	Chromosome		NW_024590459.1	unplaced-scaffold	25974			scaffold00872
GCF_003704035.1	Primary Assembly	Un			ML113058.1	Chromosome		NW_024590460.1	unplaced-scaffold	27671			scaffold00873
GCF_003704035.1	Primary Assembly	Un			ML113059.1	Chromosome		NW_024590461.1	unplaced-scaffold	25773			scaffold00874
GCF_003704035.1	Primary Assembly	Un			ML113060.1	Chromosome		NW_024590462.1	unplaced-scaffold	25197			scaffold00875
GCF_003704035.1	Primary Assembly	Un			ML113061.1	Chromosome		NW_024590463.1	unplaced-scaffold	25544			scaffold00876
GCF_003704035.1	Primary Assembly	Un			ML113062.1	Chromosome		NW_024590464.1	unplaced-scaffold	28135			scaffold00877
GCF_003704035.1	Primary Assembly	Un			ML113063.1	Chromosome		NW_024590465.1	unplaced-scaffold	25930			scaffold00878
GCF_003704035.1	Primary Assembly	Un			ML113064.1	Chromosome		NW_024590466.1	unplaced-scaffold	24911			scaffold00879
GCF_003704035.1	Primary Assembly	Un			ML113065.1	Chromosome		NW_024590468.1	unplaced-scaffold	24749			scaffold00881
GCF_003704035.1	Primary Assembly	Un			ML113066.1	Chromosome		NW_024590470.1	unplaced-scaffold	25025			scaffold00883
GCF_003704035.1	Primary Assembly	Un			ML113067.1	Chromosome		NW_024590471.1	unplaced-scaffold	25536			scaffold00884
GCF_003704035.1	Primary Assembly	Un			ML113068.1	Chromosome		NW_024590472.1	unplaced-scaffold	24865			scaffold00885
GCF_003704035.1	Primary Assembly	Un			ML113069.1	Chromosome		NW_024590473.1	unplaced-scaffold	24865			scaffold00887
GCF_003704035.1	Primary Assembly	Un			ML113070.1	Chromosome		NW_024590474.1	unplaced-scaffold	23637			scaffold00888
GCF_003704035.1	Primary Assembly	Un			ML113071.1	Chromosome		NW_024590475.1	unplaced-scaffold	25148			scaffold00889
GCF_003704035.1	Primary Assembly	Un			ML113072.1	Chromosome		NW_024590477.1	unplaced-scaffold	24738			scaffold00891
GCF_003704035.1	Primary Assembly	Un			ML113073.1	Chromosome		NW_024590478.1	unplaced-scaffold	35304			scaffold00893
GCF_003704035.1	Primary Assembly	Un			ML113074.1	Chromosome		NW_024590479.1	unplaced-scaffold	24203			scaffold00894
GCF_003704035.1	Primary Assembly	Un			ML113075.1	Chromosome		NW_024590480.1	unplaced-scaffold	24173			scaffold00895
GCF_003704035.1	Primary Assembly	Un			ML113076.1	Chromosome		NW_024590481.1	unplaced-scaffold	24990			scaffold00896
GCF_003704035.1	Primary Assembly	Un			ML113077.1	Chromosome		NW_024590482.1	unplaced-scaffold	23932			scaffold00897
GCF_003704035.1	Primary Assembly	Un			ML113078.1	Chromosome		NW_024590483.1	unplaced-scaffold	24784			scaffold00898
GCF_003704035.1	Primary Assembly	Un			ML113079.1	Chromosome		NW_024590484.1	unplaced-scaffold	40920			scaffold00899
GCF_003704035.1	Primary Assembly	Un			ML113080.1	Chromosome		NW_024590485.1	unplaced-scaffold	24119			scaffold00900
GCF_003704035.1	Primary Assembly	Un			ML113081.1	Chromosome		NW_024590486.1	unplaced-scaffold	24811			scaffold00901
GCF_003704035.1	Primary Assembly	Un			ML113082.1	Chromosome		NW_024590488.1	unplaced-scaffold	25869			scaffold00903
GCF_003704035.1	Primary Assembly	Un			ML113083.1	Chromosome		NW_024590489.1	unplaced-scaffold	28692			scaffold00904
GCF_003704035.1	Primary Assembly	Un			ML113084.1	Chromosome		NW_024590490.1	unplaced-scaffold	24371			scaffold00905
GCF_003704035.1	Primary Assembly	Un			ML113085.1	Chromosome		NW_024590491.1	unplaced-scaffold	23045			scaffold00906
GCF_003704035.1	Primary Assembly	Un			ML113086.1	Chromosome		NW_024590492.1	unplaced-scaffold	22898			scaffold00907
GCF_003704035.1	Primary Assembly	Un			ML113087.1	Chromosome		NW_024590493.1	unplaced-scaffold	23242			scaffold00908
GCF_003704035.1	Primary Assembly	Un			ML113088.1	Chromosome		NW_024590494.1	unplaced-scaffold	26051			scaffold00909
GCF_003704035.1	Primary Assembly	Un			ML113089.1	Chromosome		NW_024590495.1	unplaced-scaffold	28207			scaffold00910
GCF_003704035.1	Primary Assembly	Un			ML113090.1	Chromosome		NW_024590496.1	unplaced-scaffold	23532			scaffold00911
GCF_003704035.1	Primary Assembly	Un			ML113091.1	Chromosome		NW_024590498.1	unplaced-scaffold	27506			scaffold00913
GCF_003704035.1	Primary Assembly	Un			ML113092.1	Chromosome		NW_024590499.1	unplaced-scaffold	23058			scaffold00914
GCF_003704035.1	Primary Assembly	Un			ML113093.1	Chromosome		NW_024590501.1	unplaced-scaffold	23567			scaffold00916
GCF_003704035.1	Primary Assembly	Un			ML113094.1	Chromosome		NW_024590502.1	unplaced-scaffold	22069			scaffold00917
GCF_003704035.1	Primary Assembly	Un			ML113095.1	Chromosome		NW_024590503.1	unplaced-scaffold	23739			scaffold00918
GCF_003704035.1	Primary Assembly	Un			ML113096.1	Chromosome		NW_024590504.1	unplaced-scaffold	23521			scaffold00919
GCF_003704035.1	Primary Assembly	Un			ML113097.1	Chromosome		NW_024590505.1	unplaced-scaffold	22657			scaffold00920
GCF_003704035.1	Primary Assembly	Un			ML113098.1	Chromosome		NW_024590506.1	unplaced-scaffold	22916			scaffold00921
GCF_003704035.1	Primary Assembly	Un			ML113099.1	Chromosome		NW_024590507.1	unplaced-scaffold	24446			scaffold00922
GCF_003704035.1	Primary Assembly	Un			ML113100.1	Chromosome		NW_024590508.1	unplaced-scaffold	22671			scaffold00923
GCF_003704035.1	Primary Assembly	Un			ML113101.1	Chromosome		NW_024590510.1	unplaced-scaffold	23938			scaffold00925
GCF_003704035.1	Primary Assembly	Un			ML113102.1	Chromosome		NW_024590511.1	unplaced-scaffold	22218			scaffold00926
GCF_003704035.1	Primary Assembly	Un			ML113103.1	Chromosome		NW_024590512.1	unplaced-scaffold	22484			scaffold00927
GCF_003704035.1	Primary Assembly	Un			ML113104.1	Chromosome		NW_024590515.1	unplaced-scaffold	22737			scaffold00930
GCF_003704035.1	Primary Assembly	Un			ML113105.1	Chromosome		NW_024590516.1	unplaced-scaffold	22127			scaffold00931
GCF_003704035.1	Primary Assembly	Un			ML113106.1	Chromosome		NW_024590517.1	unplaced-scaffold	21827			scaffold00932
GCF_003704035.1	Primary Assembly	Un			ML113107.1	Chromosome		NW_024590518.1	unplaced-scaffold	22118			scaffold00933
GCF_003704035.1	Primary Assembly	Un			ML113108.1	Chromosome		NW_024590519.1	unplaced-scaffold	23285			scaffold00934
GCF_003704035.1	Primary Assembly	Un			ML113109.1	Chromosome		NW_024590520.1	unplaced-scaffold	22748			scaffold00935
GCF_003704035.1	Primary Assembly	Un			ML113110.1	Chromosome		NW_024590521.1	unplaced-scaffold	23350			scaffold00937
GCF_003704035.1	Primary Assembly	Un			ML113111.1	Chromosome		NW_024590522.1	unplaced-scaffold	22359			scaffold00938
GCF_003704035.1	Primary Assembly	Un			ML113112.1	Chromosome		NW_024590523.1	unplaced-scaffold	23795			scaffold00939
GCF_003704035.1	Primary Assembly	Un			ML113113.1	Chromosome		NW_024590524.1	unplaced-scaffold	21936			scaffold00940
GCF_003704035.1	Primary Assembly	Un			ML113114.1	Chromosome		NW_024590525.1	unplaced-scaffold	22041			scaffold00941
GCF_003704035.1	Primary Assembly	Un			ML113115.1	Chromosome		NW_024590526.1	unplaced-scaffold	22587			scaffold00942
GCF_003704035.1	Primary Assembly	Un			ML113116.1	Chromosome		NW_024590527.1	unplaced-scaffold	22872			scaffold00943
GCF_003704035.1	Primary Assembly	Un			ML113117.1	Chromosome		NW_024590528.1	unplaced-scaffold	21551			scaffold00944
GCF_003704035.1	Primary Assembly	Un			ML113118.1	Chromosome		NW_024590530.1	unplaced-scaffold	27602			scaffold00946
GCF_003704035.1	Primary Assembly	Un			ML113119.1	Chromosome		NW_024590531.1	unplaced-scaffold	22778			scaffold00947
GCF_003704035.1	Primary Assembly	Un			ML113120.1	Chromosome		NW_024590532.1	unplaced-scaffold	22157			scaffold00948
GCF_003704035.1	Primary Assembly	Un			ML113121.1	Chromosome		NW_024590533.1	unplaced-scaffold	23186			scaffold00949
GCF_003704035.1	Primary Assembly	Un			ML113122.1	Chromosome		NW_024590535.1	unplaced-scaffold	24256			scaffold00951
GCF_003704035.1	Primary Assembly	Un			ML113123.1	Chromosome		NW_024590536.1	unplaced-scaffold	21361			scaffold00952
GCF_003704035.1	Primary Assembly	Un			ML113124.1	Chromosome		NW_024590538.1	unplaced-scaffold	21490			scaffold00954
GCF_003704035.1	Primary Assembly	Un			ML113125.1	Chromosome		NW_024590539.1	unplaced-scaffold	21228			scaffold00955
GCF_003704035.1	Primary Assembly	Un			ML113126.1	Chromosome		NW_024590540.1	unplaced-scaffold	21502			scaffold00956
GCF_003704035.1	Primary Assembly	Un			ML113127.1	Chromosome		NW_024590541.1	unplaced-scaffold	23273			scaffold00957
GCF_003704035.1	Primary Assembly	Un			ML113128.1	Chromosome		NW_024590542.1	unplaced-scaffold	20868			scaffold00958
GCF_003704035.1	Primary Assembly	Un			ML113129.1	Chromosome		NW_024590543.1	unplaced-scaffold	20459			scaffold00959
GCF_003704035.1	Primary Assembly	Un			ML113130.1	Chromosome		NW_024590544.1	unplaced-scaffold	21475			scaffold00960
GCF_003704035.1	Primary Assembly	Un			ML113131.1	Chromosome		NW_024590545.1	unplaced-scaffold	21536			scaffold00961
GCF_003704035.1	Primary Assembly	Un			ML113132.1	Chromosome		NW_024590546.1	unplaced-scaffold	22633			scaffold00962
GCF_003704035.1	Primary Assembly	Un			ML113133.1	Chromosome		NW_024590547.1	unplaced-scaffold	21079			scaffold00963
GCF_003704035.1	Primary Assembly	Un			ML113134.1	Chromosome		NW_024590548.1	unplaced-scaffold	20478			scaffold00964
GCF_003704035.1	Primary Assembly	Un			ML113135.1	Chromosome		NW_024590549.1	unplaced-scaffold	21966			scaffold00965
GCF_003704035.1	Primary Assembly	Un			ML113136.1	Chromosome		NW_024590550.1	unplaced-scaffold	20907			scaffold00966
GCF_003704035.1	Primary Assembly	Un			ML113137.1	Chromosome		NW_024590551.1	unplaced-scaffold	21121			scaffold00967
GCF_003704035.1	Primary Assembly	Un			ML113138.1	Chromosome		NW_024590552.1	unplaced-scaffold	24817			scaffold00968
GCF_003704035.1	Primary Assembly	Un			ML113139.1	Chromosome		NW_024590553.1	unplaced-scaffold	21106			scaffold00969
GCF_003704035.1	Primary Assembly	Un			ML113140.1	Chromosome		NW_024590555.1	unplaced-scaffold	26012			scaffold00971
GCF_003704035.1	Primary Assembly	Un			ML113141.1	Chromosome		NW_024590557.1	unplaced-scaffold	20548			scaffold00974
GCF_003704035.1	Primary Assembly	Un			ML113142.1	Chromosome		NW_024590558.1	unplaced-scaffold	23094			scaffold00975
GCF_003704035.1	Primary Assembly	Un			ML113143.1	Chromosome		NW_024590559.1	unplaced-scaffold	20736			scaffold00976
GCF_003704035.1	Primary Assembly	Un			ML113144.1	Chromosome		NW_024590561.1	unplaced-scaffold	21661			scaffold00978
GCF_003704035.1	Primary Assembly	Un			ML113145.1	Chromosome		NW_024590562.1	unplaced-scaffold	23111			scaffold00979
GCF_003704035.1	Primary Assembly	Un			ML113146.1	Chromosome		NW_024590563.1	unplaced-scaffold	22505			scaffold00980
GCF_003704035.1	Primary Assembly	Un			ML113147.1	Chromosome		NW_024590564.1	unplaced-scaffold	25120			scaffold00981
GCF_003704035.1	Primary Assembly	Un			ML113148.1	Chromosome		NW_024590565.1	unplaced-scaffold	20230			scaffold00982
GCF_003704035.1	Primary Assembly	Un			ML113149.1	Chromosome		NW_024590566.1	unplaced-scaffold	22489			scaffold00983
GCF_003704035.1	Primary Assembly	Un			ML113150.1	Chromosome		NW_024590567.1	unplaced-scaffold	21045			scaffold00984
GCF_003704035.1	Primary Assembly	Un			ML113151.1	Chromosome		NW_024590568.1	unplaced-scaffold	20712			scaffold00985
GCF_003704035.1	Primary Assembly	Un			ML113152.1	Chromosome		NW_024590569.1	unplaced-scaffold	25207			scaffold00986
GCF_003704035.1	Primary Assembly	Un			ML113153.1	Chromosome		NW_024590570.1	unplaced-scaffold	24249			scaffold00987
GCF_003704035.1	Primary Assembly	Un			ML113154.1	Chromosome		NW_024590571.1	unplaced-scaffold	20392			scaffold00989
GCF_003704035.1	Primary Assembly	Un			ML113155.1	Chromosome		NW_024590572.1	unplaced-scaffold	18266			scaffold00990
GCF_003704035.1	Primary Assembly	Un			ML113156.1	Chromosome		NW_024590573.1	unplaced-scaffold	20115			scaffold00991
GCF_003704035.1	Primary Assembly	Un			ML113157.1	Chromosome		NW_024590574.1	unplaced-scaffold	20434			scaffold00992
GCF_003704035.1	Primary Assembly	Un			ML113158.1	Chromosome		NW_024590576.1	unplaced-scaffold	20621			scaffold00995
GCF_003704035.1	Primary Assembly	Un			ML113159.1	Chromosome		NW_024590577.1	unplaced-scaffold	24918			scaffold00996
GCF_003704035.1	Primary Assembly	Un			ML113160.1	Chromosome		NW_024590578.1	unplaced-scaffold	20042			scaffold00997
GCF_003704035.1	Primary Assembly	Un			ML113161.1	Chromosome		NW_024590579.1	unplaced-scaffold	20228			scaffold00998
GCF_003704035.1	Primary Assembly	Un			ML113162.1	Chromosome		NW_024590580.1	unplaced-scaffold	27822			scaffold01000
GCF_003704035.1	Primary Assembly	Un			ML113163.1	Chromosome		NW_024590581.1	unplaced-scaffold	19731			scaffold01001
GCF_003704035.1	Primary Assembly	Un			ML113164.1	Chromosome		NW_024590582.1	unplaced-scaffold	19330			scaffold01002
GCF_003704035.1	Primary Assembly	Un			ML113165.1	Chromosome		NW_024590583.1	unplaced-scaffold	21341			scaffold01003
GCF_003704035.1	Primary Assembly	Un			ML113166.1	Chromosome		NW_024590585.1	unplaced-scaffold	19879			scaffold01005
GCF_003704035.1	Primary Assembly	Un			ML113167.1	Chromosome		NW_024590586.1	unplaced-scaffold	21410			scaffold01006
GCF_003704035.1	Primary Assembly	Un			ML113168.1	Chromosome		NW_024590587.1	unplaced-scaffold	23440			scaffold01007
GCF_003704035.1	Primary Assembly	Un			ML113169.1	Chromosome		NW_024590588.1	unplaced-scaffold	19735			scaffold01008
GCF_003704035.1	Primary Assembly	Un			ML113170.1	Chromosome		NW_024590590.1	unplaced-scaffold	20510			scaffold01010
GCF_003704035.1	Primary Assembly	Un			ML113171.1	Chromosome		NW_024590591.1	unplaced-scaffold	19293			scaffold01011
GCF_003704035.1	Primary Assembly	Un			ML113172.1	Chromosome		NW_024590592.1	unplaced-scaffold	19973			scaffold01012
GCF_003704035.1	Primary Assembly	Un			ML113173.1	Chromosome		NW_024590593.1	unplaced-scaffold	19564			scaffold01013
GCF_003704035.1	Primary Assembly	Un			ML113174.1	Chromosome		NW_024590594.1	unplaced-scaffold	19642			scaffold01015
GCF_003704035.1	Primary Assembly	Un			ML113175.1	Chromosome		NW_024590595.1	unplaced-scaffold	19743			scaffold01016
GCF_003704035.1	Primary Assembly	Un			ML113176.1	Chromosome		NW_024590596.1	unplaced-scaffold	23469			scaffold01017
GCF_003704035.1	Primary Assembly	Un			ML113177.1	Chromosome		NW_024590597.1	unplaced-scaffold	19505			scaffold01018
GCF_003704035.1	Primary Assembly	Un			ML113178.1	Chromosome		NW_024590598.1	unplaced-scaffold	19991			scaffold01019
GCF_003704035.1	Primary Assembly	Un			ML113179.1	Chromosome		NW_024590599.1	unplaced-scaffold	22639			scaffold01020
GCF_003704035.1	Primary Assembly	Un			ML113180.1	Chromosome		NW_024590600.1	unplaced-scaffold	22598			scaffold01021
GCF_003704035.1	Primary Assembly	Un			ML113181.1	Chromosome		NW_024590601.1	unplaced-scaffold	19441			scaffold01022
GCF_003704035.1	Primary Assembly	Un			ML113182.1	Chromosome		NW_024590602.1	unplaced-scaffold	18970			scaffold01023
GCF_003704035.1	Primary Assembly	Un			ML113183.1	Chromosome		NW_024590603.1	unplaced-scaffold	24102			scaffold01024
GCF_003704035.1	Primary Assembly	Un			ML113184.1	Chromosome		NW_024590604.1	unplaced-scaffold	21300			scaffold01025
GCF_003704035.1	Primary Assembly	Un			ML113185.1	Chromosome		NW_024590605.1	unplaced-scaffold	20628			scaffold01026
GCF_003704035.1	Primary Assembly	Un			ML113186.1	Chromosome		NW_024590606.1	unplaced-scaffold	18334			scaffold01027
GCF_003704035.1	Primary Assembly	Un			ML113187.1	Chromosome		NW_024590608.1	unplaced-scaffold	20353			scaffold01029
GCF_003704035.1	Primary Assembly	Un			ML113188.1	Chromosome		NW_024590609.1	unplaced-scaffold	18821			scaffold01030
GCF_003704035.1	Primary Assembly	Un			ML113189.1	Chromosome		NW_024590610.1	unplaced-scaffold	18968			scaffold01031
GCF_003704035.1	Primary Assembly	Un			ML113190.1	Chromosome		NW_024590611.1	unplaced-scaffold	20261			scaffold01032
GCF_003704035.1	Primary Assembly	Un			ML113191.1	Chromosome		NW_024590612.1	unplaced-scaffold	18624			scaffold01033
GCF_003704035.1	Primary Assembly	Un			ML113192.1	Chromosome		NW_024590613.1	unplaced-scaffold	18871			scaffold01034
GCF_003704035.1	Primary Assembly	Un			ML113193.1	Chromosome		NW_024590616.1	unplaced-scaffold	19012			scaffold01037
GCF_003704035.1	Primary Assembly	Un			ML113194.1	Chromosome		NW_024590619.1	unplaced-scaffold	18889			scaffold01040
GCF_003704035.1	Primary Assembly	Un			ML113195.1	Chromosome		NW_024590620.1	unplaced-scaffold	19409			scaffold01041
GCF_003704035.1	Primary Assembly	Un			ML113196.1	Chromosome		NW_024590621.1	unplaced-scaffold	19595			scaffold01042
GCF_003704035.1	Primary Assembly	Un			ML113197.1	Chromosome		NW_024590622.1	unplaced-scaffold	17143			scaffold01043
GCF_003704035.1	Primary Assembly	Un			ML113198.1	Chromosome		NW_024590623.1	unplaced-scaffold	20375			scaffold01044
GCF_003704035.1	Primary Assembly	Un			ML113199.1	Chromosome		NW_024590625.1	unplaced-scaffold	18496			scaffold01046
GCF_003704035.1	Primary Assembly	Un			ML113200.1	Chromosome		NW_024590626.1	unplaced-scaffold	18985			scaffold01047
GCF_003704035.1	Primary Assembly	Un			ML113201.1	Chromosome		NW_024590627.1	unplaced-scaffold	17729			scaffold01048
GCF_003704035.1	Primary Assembly	Un			ML113202.1	Chromosome		NW_024590628.1	unplaced-scaffold	18780			scaffold01049
GCF_003704035.1	Primary Assembly	Un			ML113203.1	Chromosome		NW_024590629.1	unplaced-scaffold	19227			scaffold01050
GCF_003704035.1	Primary Assembly	Un			ML113204.1	Chromosome		NW_024590630.1	unplaced-scaffold	18769			scaffold01051
GCF_003704035.1	Primary Assembly	Un			ML113205.1	Chromosome		NW_024590631.1	unplaced-scaffold	20728			scaffold01052
GCF_003704035.1	Primary Assembly	Un			ML113206.1	Chromosome		NW_024590632.1	unplaced-scaffold	18897			scaffold01053
GCF_003704035.1	Primary Assembly	Un			ML113207.1	Chromosome		NW_024590633.1	unplaced-scaffold	20547			scaffold01054
GCF_003704035.1	Primary Assembly	Un			ML113208.1	Chromosome		NW_024590634.1	unplaced-scaffold	18779			scaffold01055
GCF_003704035.1	Primary Assembly	Un			ML113209.1	Chromosome		NW_024590635.1	unplaced-scaffold	20016			scaffold01056
GCF_003704035.1	Primary Assembly	Un			ML113210.1	Chromosome		NW_024590636.1	unplaced-scaffold	18959			scaffold01057
GCF_003704035.1	Primary Assembly	Un			ML113211.1	Chromosome		NW_024590637.1	unplaced-scaffold	18785			scaffold01058
GCF_003704035.1	Primary Assembly	Un			ML113212.1	Chromosome		NW_024590638.1	unplaced-scaffold	19447			scaffold01059
GCF_003704035.1	Primary Assembly	Un			ML113213.1	Chromosome		NW_024590639.1	unplaced-scaffold	18273			scaffold01060
GCF_003704035.1	Primary Assembly	Un			ML113214.1	Chromosome		NW_024590640.1	unplaced-scaffold	18223			scaffold01061
GCF_003704035.1	Primary Assembly	Un			ML113215.1	Chromosome		NW_024590642.1	unplaced-scaffold	18195			scaffold01063
GCF_003704035.1	Primary Assembly	Un			ML113216.1	Chromosome		NW_024590643.1	unplaced-scaffold	18493			scaffold01064
GCF_003704035.1	Primary Assembly	Un			ML113217.1	Chromosome		NW_024590645.1	unplaced-scaffold	19559			scaffold01066
GCF_003704035.1	Primary Assembly	Un			ML113218.1	Chromosome		NW_024590646.1	unplaced-scaffold	20994			scaffold01067
GCF_003704035.1	Primary Assembly	Un			ML113219.1	Chromosome		NW_024590647.1	unplaced-scaffold	18250			scaffold01068
GCF_003704035.1	Primary Assembly	Un			ML113220.1	Chromosome		NW_024590648.1	unplaced-scaffold	18700			scaffold01069
GCF_003704035.1	Primary Assembly	Un			ML113221.1	Chromosome		NW_024590650.1	unplaced-scaffold	21952			scaffold01071
GCF_003704035.1	Primary Assembly	Un			ML113222.1	Chromosome		NW_024590651.1	unplaced-scaffold	18237			scaffold01072
GCF_003704035.1	Primary Assembly	Un			ML113223.1	Chromosome		NW_024590652.1	unplaced-scaffold	17920			scaffold01073
GCF_003704035.1	Primary Assembly	Un			ML113224.1	Chromosome		NW_024590654.1	unplaced-scaffold	17881			scaffold01076
GCF_003704035.1	Primary Assembly	Un			ML113225.1	Chromosome		NW_024590655.1	unplaced-scaffold	17392			scaffold01077
GCF_003704035.1	Primary Assembly	Un			ML113226.1	Chromosome		NW_024590657.1	unplaced-scaffold	18236			scaffold01079
GCF_003704035.1	Primary Assembly	Un			ML113227.1	Chromosome		NW_024590659.1	unplaced-scaffold	17754			scaffold01082
GCF_003704035.1	Primary Assembly	Un			ML113228.1	Chromosome		NW_024590660.1	unplaced-scaffold	17421			scaffold01083
GCF_003704035.1	Primary Assembly	Un			ML113229.1	Chromosome		NW_024590661.1	unplaced-scaffold	22344			scaffold01084
GCF_003704035.1	Primary Assembly	Un			ML113230.1	Chromosome		NW_024590663.1	unplaced-scaffold	17588			scaffold01086
GCF_003704035.1	Primary Assembly	Un			ML113231.1	Chromosome		NW_024590664.1	unplaced-scaffold	18766			scaffold01087
GCF_003704035.1	Primary Assembly	Un			ML113232.1	Chromosome		NW_024590665.1	unplaced-scaffold	18016			scaffold01088
